Jacob	22,074	Isabella	22,872
2	Ethan	17,984	Sophia	20,601
3	Michael	17,291	Emma	17,316
4	Jayden	17,137	Olivia	17,004
5	William	17,024	Ava	15,407
6	Alexander	16,737	Emily	14,256
7	Noah	16,416	Abigail	14,223
8	Daniel	15,806	Madison	13,155
9	Aiden	15,509	Chloe	11,735
10	Anthony	15,461	Mia	10,618
11	Joshua	15,400	Addison	10,313
12	Mason	14,819	Elizabeth	10,234
13	Christopher	14,236	Ella	9,866
14	Andrew	14,213	Natalie	8,760
15	David	14,158	Samantha	8,391
16	Matthew	14,092	Alexis	8,246
17	Logan	14,009	Lily	7,970
18	Elijah	13,861	Grace	7,670
19	James	13,833	Hailey	7,002
20	Joseph	13,785	Alyssa	6,974
21	Gabriel	12,848	Hannah	6,967
22	Benjamin	12,406	Lillian	6,944
23	Ryan	11,960	Avery	6,668
24	Samuel	11,934	Leah	6,522
25	Jackson	11,795	Nevaeh	6,396
26	John	11,533	Sofia	6,316
27	Nathan	11,360	Anna	6,307
28	Jonathan	11,096	Sarah	6,303
29	Christian	11,075	Ashley	6,301
30	Liam	10,918	Brianna	6,264
31	Dylan	10,501	Zoe	6,259
32	Landon	10,457	Victoria	6,215
33	Caleb	10,449	Gabriella	6,162
34	Tyler	10,430	Brooklyn	6,109
35	Lucas	10,366	Kaylee	6,083
36	Evan	9,714	Taylor	5,886
37	Nicholas	9,630	Layla	5,880
38	Gavin	9,604	Allison	5,857
39	Isaac	9,336	Evelyn	5,834
40	Brayden	9,094	Riley	5,534
41	Luke	8,828	Amelia	5,448
42	Angel	8,754	Khloe	5,395
43	Isaiah	8,543	Makayla	5,384
44	Brandon	8,528	Savannah	5,358
45	Jack	8,512	Aubrey	5,354
46	Jordan	8,216	Charlotte	5,353
47	Owen	8,171	Zoey	5,198
48	Carter	8,145	Bella	5,106
49	Connor	8,043	Kayla	5,044
50	Justin	7,837	Alexa	5,035
51	Jeremiah	7,709	Peyton	4,966
52	Jose	7,694	Audrey	4,948
53	Julian	7,569	Claire	4,913
